                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2837,                 6.0324,                 2.2197,                      0,                      0,                      0,                      0,                 2.2103,                 9.2085,                 2.7114,               5.95e-06,               5.95e-06,               5.95e-06
                      2,                 2.4642,                 6.3281,                 2.3533,                      0,                      0,                      0,                      0,                 2.1841,                 9.1358,                 2.7243,             1.2442e-05,             1.2442e-05,             1.2442e-05
                      3,                 2.5282,                 6.0898,                 2.4419,                      0,                      0,                      0,                      0,                 2.1867,                 8.5944,                 2.7219,             1.8227e-05,             1.8227e-05,             1.8227e-05
                      4,                 2.2987,                 6.0311,                 2.0945,                      0,                      0,                      0,                      0,                 2.1931,                 8.1546,                 2.7232,             2.3306e-05,             2.3306e-05,             2.3306e-05
                      5,                 2.3437,                 6.1944,                 2.1519,                      0,                      0,                      0,                      0,                 2.1746,                 7.7091,                 2.6966,             2.7677e-05,             2.7677e-05,             2.7677e-05
                      6,                 2.4042,                 5.8334,                 2.2534,                      0,                      0,                      0,                      0,                 2.2128,                 7.0766,                  2.745,             3.1342e-05,             3.1342e-05,             3.1342e-05
                      7,                  2.396,                  5.747,                 2.2704,                0.00833,                0.08333,                0.00829,                0.00497,                 2.1954,                 6.2779,                 2.6223,             3.4299e-05,             3.4299e-05,             3.4299e-05
                      8,                 2.0912,                 5.4972,                 1.9657,                0.00833,                0.08333,                0.00829,                0.00497,                 2.1954,                 6.2779,                 2.6223,              3.655e-05,              3.655e-05,              3.655e-05
                      9,                 2.2893,                 5.2977,                 2.0698,                0.00926,                0.08333,                0.02764,                0.01658,                   2.29,                 5.5051,                 2.6465,             3.8094e-05,             3.8094e-05,             3.8094e-05
                     10,                 2.3183,                 5.4034,                 2.2166,                 0.0501,                   0.25,                 0.0995,                0.04146,                 2.2944,                 4.9195,                 2.5964,             3.8931e-05,             3.8931e-05,             3.8931e-05
                     11,                 2.3572,                 5.2258,                 2.3428,                 0.0501,                   0.25,                 0.0995,                0.04146,                 2.2944,                 4.9195,                 2.5964,             3.9062e-05,             3.9062e-05,             3.9062e-05
                     12,                 2.3989,                 5.2312,                 2.3919,                0.06273,                0.36111,                0.10497,                0.03883,                 2.1857,                 4.8096,                 2.4127,             3.8485e-05,             3.8485e-05,             3.8485e-05
                     13,                 2.2215,                 4.7252,                 2.1656,                0.06273,                0.36111,                0.10497,                0.03883,                 2.1857,                 4.8096,                 2.4127,             3.7202e-05,             3.7202e-05,             3.7202e-05
                     14,                 2.3294,                 5.1928,                 2.2768,                0.06273,                0.36111,                0.10497,                0.03883,                 2.1857,                 4.8096,                 2.4127,             3.5212e-05,             3.5212e-05,             3.5212e-05
                     15,                 2.3014,                 4.6301,                 2.3417,                0.05109,                0.33333,                0.09489,                0.03851,                 2.1093,                 4.8574,                 2.2717,             3.2514e-05,             3.2514e-05,             3.2514e-05
                     16,                 2.1793,                 4.3745,                 2.1922,                0.05109,                0.33333,                0.09489,                0.03851,                 2.1093,                 4.8574,                 2.2717,              2.911e-05,              2.911e-05,              2.911e-05
                     17,                 2.4401,                 4.6915,                 2.3766,                0.07748,                0.35417,                0.12154,                0.05069,                 2.1503,                 4.8356,                 2.2966,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     18,                 2.1593,                 4.4136,                 2.1918,                0.07748,                0.35417,                0.12154,                0.05069,                 2.1503,                 4.8356,                 2.2966,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     19,                 2.3925,                  4.447,                 2.3121,                0.07748,                0.35417,                0.12154,                0.05069,                 2.1503,                 4.8356,                 2.2966,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     20,                 2.3803,                 4.3753,                 2.2359,                0.07857,                0.35417,                0.11647,                0.04659,                 2.1515,                 4.9402,                 2.2599,             1.2971e-05,             1.2971e-05,             1.2971e-05
